1408036,871106,-6718124,140587.64000000001
1853764,845113,-6613548,140647.64000000001
2291287,811629,-6480400,140707.64000000001
2718659,770885,-6319274,140767.64000000001
3133990,723146,-6130860,140827.64000000001
3535443,668738,-5915983,140887.64000000001
3921239,608015,-5675567,140947.64000000001
4289667,541391,-5410651,141007.64000000001
4639101,469303,-5122365,141067.64000000001
4968002,392233,-4811964,141127.64000000001
5274907,310703,-4480795,141187.64000000001
5558460,225258,-4130264,141247.64000000001
5817412,136471,-3761885,141307.64000000001
6050616,44949,-3377258,141367.64000000001
6257059,-48694,-2978042,141427.64000000001
6435814,-143809,-2565944,141487.64000000001
6586101,-239749,-2142758,141547.64000000001
6707287,-335852,-1710304,141607.64000000001
6798806,-431437,-1270447,141667.64000000001
6860292,-525840,-825096,141727.64000000001
6891477,-618386,-376172,141787.64000000001
6892248,-708415,74378,141847.64000000001
6862607,-795270,524612,141907.64000000001
6802721,-878322,972572,141967.64000000001
6712875,-956942,1416317,142027.64000000001
6593488,-1030520,1853927,142087.64000000001
6445123,-1098496,2283503,142147.64000000001
6268504,-1160363,2703198,142207.64000000001
0,0,0,142267.64000000001
5833599,-1263534,3505634,142327.64000000001
5577399,-1303996,3884921,142387.64000000001
5296867,-1336498,4247357,142447.64000000001
4993291,-1360701,4591382,142507.64000000001
4668043,-1376289,4915496,142567.64000000001
4322591,-1383021,5218288,142627.64000000001
3958518,-1380685,5498452,142687.64000000001
3577442,-1369145,5754754,142747.64000000001
3181102,-1348306,5986092,142807.64000000001
2771276,-1318128,6191445,142867.64000000001
2349810,-1278632,6369918,142927.64000000001
1918599,-1229890,6520737,142987.64000000001
1479580,-1172040,6643221,143047.64000000001
1034730,-1105265,6736848,143107.64000000001
586034,-1029809,6801207,143167.64000000001
135505,-945974,6835961,143227.64000000001
-314840,-854112,6840985,143287.64000000001
-1206939,-647969,6761821,143407.64000000001
-1644699,-534662,6677909,143467.64000000001
-2074324,-415230,6564925,143527.64000000001
-2493889,-290302,6423241,143587.64000000001
-2901538,-160488,6253552,143647.64000000001
-3295448,-26470,6056551,143707.64000000001
-3673871,111040,5833077,143767.64000000001
-4035125,251303,5584094,143827.64000000001
-4377610,393560,5310677,143887.64000000001
-4699811,537008,5014002,143947.64000000001
-5000312,680847,4695362,144007.64000000001
-5277791,824251,4356135,144067.64000000001
-5531039,966381,3997804,144127.64000000001
-5758946,1106417,3621923,144187.64000000001
-5960545,1243498,3230147,144247.64000000001
-6134963,1376809,2824181,144307.64000000001
-6281474,1505518,2405805,144367.64000000001
-6399474,1628814,1976858,144427.64000000001
-6488487,1745909,1539217,144487.64000000001
-6548199,1856030,1094815,144547.64000000001
-6578386,1958448,645598,144607.64000000001
-6579005,2052452,193541,144667.64000000001
-6550128,2137375,-259366,144727.64000000001
-6491974,2212592,-711133,144787.64000000001
-6404888,2277523,-1159779,144847.64000000001
-6289355,2331639,-1603331,144907.64000000001
-6145974,2374454,-2039842,144967.64000000001
-5975508,2405555,-2467406,145027.64000000001
-5778807,2424580,-2884148,145087.64000000001
-5556853,2431225,-3288255,145147.64000000001
-5310737,2425247,-3677961,145207.64000000001
-5041659,2406483,-4051576,145267.64000000001
-4750911,2374822,-4407469,145327.64000000001
-4439888,2330221,-4744110,145387.64000000001
-4110070,2272722,-5060040,145447.64000000001
-3763022,2202425,-5353910,145507.64000000001
-3400357,2119489,-5624446,145567.64000000001
-3023775,2024156,-5870490,145627.64000000001
-2635024,1916735,-6091003,145687.64000000001
-2235890,1797592,-6285038,145747.64000000001
-1828204,1667171,-6451779,145807.64000000001
-1413837,1525973,-6590532,145867.64000000001
