2000AB6,0.476519,2.6381
2000EB14,0.495594,1.3395
2000BH19,0.455304,2.949
2000NQ11,0.367582,2.8088
2000PN,0.761349,1.7961
2000GT127,0.471721,3.5811
2000SC241,0.52398,3.8092
2000DL8,0.610019,3.5311
2000PE3,0.653999,3.8047
2000CK59,0.311481,1.9365
2000HB24,0.430378,1.166
2000CO33,0.569705,3.6515
2000KA,0.462036,1.9478
2000EC104,0.370378,2.4411
2000YG29,0.685639,5.4082
2000LK,0.944543,4.2475
2000WH10,0.6618,4.1678
2000CR101,0.245899,2.1117
2000LF3,0.655025,4.2912
2000XF44,0.559265,3.9778
2000RJ12,0.482906,3.1908
2000SB25,0.354081,2.5138
2000QJ130,0.496091,3.7166
2000SG8,0.900452,4.6885
2000WM10,0.552911,3.5618
2000HO40,0.5171,1.1322
2000WL107,0.6523,4.7989
2000LD3,0.741621,2.5075
2000WM63,0.156628,1.1912
2000UO30,0.450778,2.6241
2000KL33,0.430161,3.022
2000OH8,0.50395,3.6152
2000XJ44,0.707418,3.6421
2000PP9,0.550847,3.6124
2000EZ106,0.44615,1.3412
2000SF8,0.345148,2.2184
2000DV110,0.388062,2.9016
2000UQ30,0.455415,2.5433
2000WQ148,0.5925,3.226
2000PH8,0.454661,2.9323
2000SM10,0.540725,2.5652
2000LG6,0.11066,1.0188
2000EY106,0.454788,2.4609
2000FP10,0.237707,1.783
2000WX28,0.597951,4.5455
2000AA6,0.51927,1.9545
2000KC,0.469855,3.3075
2000SL10,0.338687,1.8368
2000WO148,0.376437,2.259
2000AE205,0.137732,1.325
2000RK60,0.489311,3.2433
2000QO130,0.454083,3.2722
2000PY5,0.600842,3.7097
2000JX8,0.329928,2.0364
2000WH63,0.536481,3.6323
2000QX69,0.271381,1.2841
2000QL130,0.53046,3.9691
2000YG4,0.503265,3.3239
2000GC147,0.614359,4.476
2000KE41,0.866743,5.5933
2000PF5,0.657778,5.2656
2000WL63,0.298551,1.8595
2000SR43,0.548622,3.9456
2000AG6,0.189344,1.2095
2000WP19,0.288342,1.101
2000TV28,0.489424,3.747
2000TE2,0.213948,1.6032
2000SB45,0.397056,2.1795
2000SS43,0.409558,2.44
2000CP101,0.619508,2.8741
